"Zeitstempel","In welchem Beschäftigungsverhältnis befinden Sie sich?","Ist Ihnen die VR/AR - Technologie bekannt?","In welchem Umfeld nutzen Sie VR/AR?","Wo haben Sie schonmal von VR/AR gehört?","Wie oft nutzen Sie VR/AR ?","In welchem Bereich nutzten Sie VR/AR beruflich?","In welchem Bereich nutzten Sie VR/AR privat?","Falls zutreffend erläutern Sie in kurzen Worten ihr privates Projekt mit VR/AR : ","Falls zutreffend erläutern Sie in kurzen Worten ihre berufliche Tätigkeit mit VR/AR : ","Welche Anwendungsfälle von VR/AR sind Ihrer Meinung nach am vielversprechendsten im Beruf/Ausbildung/Studium?","Welche Faktoren beeinflussen die Nutzung von VR/AR im Beruf/Ausbildung/Studium?","Inwiefern hat die Corona-Pandemie die Nutzung von VR/AR im Beruf/Ausbildung/Studium beeinflusst?","Wie zufrieden sind Sie mit der aktuellen Entwicklung von VR/AR im Beruf/Ausbildung/Studium?","Welche technischen Fortschritte wünschen Sie sich für die Zukunft von VR/AR im Beruf/Ausbildung/Studium?","Wie sehen Sie die Zukunft von VR/AR im Beruf/Ausbildung/Studium?","Welche Auswirkungen wird die verstärkte Nutzung von VR/AR auf den Arbeitsmarkt haben?","Welche Hürden und Hindernisse müssen noch überwunden werden, um eine breitere Nutzung von VR/AR im Beruf/Ausbildung/Studium zu erreichen?","Inwiefern spielt VR/AR Ihrer Meinung nach eine Rolle in der zukünftigen Ausbildung von Studierenden/Auszubildenden?","Wie können Unternehmen und Bildungseinrichtungen die Nutzung von VR/AR im Beruf/Ausbildung/Studium fördern?","Welche Bedeutung hat VR/AR Ihrer Meinung nach für die zukünftige Entwicklung der Informatikbranche?","VR/AR ist Ihnen noch Neuland? Geben Sie an falls zutreffend.","In welchem Kontext wurde VR/AR im beruflichen Kontext eingesetzt? ","Mit welcher Technologie haben Sie sich auseinandergesetzt?","Welche der Technologien haben Sie in Projekten/Arbeiten verwendet?","Wie oft wurde die Technologie angewandt?","Wiesehr wurde das Arbeiten mit der Technologie als Unterstützend empfunden?","Inwiefern war die Nutzung von VR/AR von produktivem Wert?","Beschreiben Sie stichpunktartig den positive Effekt beim Einsatz von VR/AR","Wie würden Sie ihre gesamte Erfahrung mit/Eindruck von VR/AR Technologie bewerten?","Wie wahrscheinlich ist es, dass Sie die Nutzung von  VR/AR weiter empfehlen?","Beschreiben Sie stichpunktartig Ihre Arbeit, bei der Sie VR/AR verwendet haben","Beschreiben Sie stichpunktartig in welchem Bereichen (beruflich oder privat) Sie VR/AR anwenden wollen und warum ","Haben Sie noch weitere Anmerkungen oder Ideen zum Thema VR/AR Nutzung und Entwicklung im Beruf/Ausbildung/Studium?"
"2023/03/21 8:16:53 AM OEZ","Ausbildung","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","noch nicht","Videospielen","Seltener","","","","","virtuelles Training von Arbeitsprozessen;Simulation von Gefahrensituationen","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen","keinen EInfluss","2","größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Kreativität und Innovationskraft der Unternehmen förder","hohe Kosten für Hardware und Software","Es wird gar keine Rolle in der Ausbildung spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine untergeordnete Rolle in der Branche spielen.","","Konstruktion/Design;Logistik und Lagerhaltung;Forschung und Entwicklung","noch keiner von beiden","keine von beiden","","","","","2","2","","",""
"2023/03/21 9:08:18 AM OEZ","Ausbildung","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","noch nicht","Ein Unternehmen, in dem ich mal gearbeitet hatte, hatte eine AR zum Testen vor Ort.","Seltener","Ich nutze keine VR/AR","Ich nutze keine VR/AR","","","virtuelles Training von Arbeitsprozessen;Simulation von Gefahrensituationen;Interaktive Präsentationen von Produkten und Dienstleistungen","Verfügbarkeit von geeigneten Anwendungen;Akzeptanz und Nutzenbewertung durch die Nutzer","keinen EInfluss","3","einfachere Bedienung;größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Kreativität und Innovationskraft der Unternehmen förder","hohe Kosten für Hardware und Software;Mangelnde Akzeptanz und Vertrauen der Nutzer;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne","Es wird eine untergeordnete Rolle in der Branche spielen.","Den Einsatz von VR/AR in dem Arbeitsbereich ist ein interessanter Gedanke;Über den Einsatz von VR/AR auf der Arbeit und dessen Auswirkung wurde nicht nachgedacht","Schulung/Ausbildung;Konstruktion/Design;Forschung und Entwicklung","Augmented Reality","keine von beiden","Seltener","3","3","","3","2","Nur getestet, keine konkrete Arbeit verrichtet.","In der Designentwicklung von Produkten. Hier können Entwickler durch bessere Visualisierung das Produktdesign besser entwickel.",""
"2023/03/21 9:23:25 AM OEZ","Ausbildung","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","Privat","Youtube","Einmal in der Woche","","Gaming;Unterhaltung","","","Simulation von Gefahrensituationen;Interaktive Präsentationen von Produkten und Dienstleistungen","Kosten für Hardware und Software;Akzeptanz und Nutzenbewertung durch die Nutzer;Verträglichkeit von VR Effekten","häufigere Nutzung seit der Pandemie","3","verbesserte Bildqualität;bessere Interaktion und Haptik","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Kreativität und Innovationskraft der Unternehmen förder","hohe Kosten für Hardware und Software;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird eine wichtige Rolle bei der Vermittlung praktischer Erfahrungen spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Finanzielle Anreize für die Nutzung von VR/AR;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine entscheidende Rolle bei der Weiterentwicklung und Innovation der Branche spielen.","","Konstruktion/Design","Virtual Reality;Augmented Reality","keine von beiden","","3","3","Immersive","2","2","","",""
"2023/03/21 9:24:33 AM OEZ","Ausbildung","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","noch nicht","Ja","Seltener","","Unterhaltung;Einzelhandel;Im MediaMarkt zu Probe","","","virtuelles Training von Arbeitsprozessen;Simulation von Gefahrensituationen;virtuelle Zusammenarbeit und Meetings","Kosten für Hardware und Software;Akzeptanz und Nutzenbewertung durch die Nutzer","keinen EInfluss","4","größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Produktivität und Effizienz der Arbeitnehmer steigern;Es wird die Kreativität und Innovationskraft der Unternehmen förder","technische Limitierung;hohe Kosten für Hardware und Software;Mangelnde Akzeptanz und Vertrauen der Nutzer","Es wird eine wichtige Rolle bei der Vermittlung praktischer Erfahrungen spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne;Finanzielle Anreize für die Nutzung von VR/AR;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine entscheidende Rolle bei der Weiterentwicklung und Innovation der Branche spielen.","","Logistik und Lagerhaltung;Technischer Support","Virtual Reality","keine von beiden","Seltener","1","1","","1","1","","",""
"2023/03/21 9:25:16 AM OEZ","Ausbildung","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","Privat","Spiele, Apps , Dienste","Einmal in der Woche","","Gaming;Unterhaltung","","","virtuelles Training von Arbeitsprozessen;Simulation von Gefahrensituationen","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen","häufigere Nutzung seit der Pandemie","2","","VR/AR wird in Zukunft in allen Bereichen des Berufslebens eingesetzt werden;VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Produktivität und Effizienz der Arbeitnehmer steigern","technische Limitierung;hohe Kosten für Hardware und Software;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird eine wichtige Rolle bei der Vermittlung praktischer Erfahrungen spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine entscheidende Rolle bei der Weiterentwicklung und Innovation der Branche spielen.","Den Einsatz von VR/AR in dem Arbeitsbereich ist ein interessanter Gedanke;Der Einsatz von VR/AR würde sich unterstützend auf die Arbeit auswirken","Schulung/Ausbildung;Konstruktion/Design;Architektur/Immobilien;Logistik und Lagerhaltung;Forschung und Entwicklung","Virtual Reality;Augmented Reality","keine von beiden","","","","","2","2","","",""
"2023/03/21 9:29:19 AM OEZ","Ausbildung","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","noch nicht","Im Betrieb, im privaten habe ich mich auch bereits damit auseinander gesetzt um mir eine VR-Brille zu kaufen, habe es aber noch nicht gemacht","Seltener","garnicht","Gaming;Unterhaltung;Kunst und Design","noch gar nicht, wenn dann für videospiele, künstlerische möglichkeiten welche sich durch vr ergeben, unterhaltung ","","Simulation von Gefahrensituationen;Interaktive Präsentationen von Produkten und Dienstleistungen;virtuelle Zusammenarbeit und Meetings","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen","","3","verbesserte Bildqualität;bessere Interaktion und Haptik;größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Produktivität und Effizienz der Arbeitnehmer steigern;Es wird die Kreativität und Innovationskraft der Unternehmen förder","technische Limitierung;hohe Kosten für Hardware und Software","Es wird eine wichtige Rolle bei der Vermittlung praktischer Erfahrungen spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine entscheidende Rolle bei der Weiterentwicklung und Innovation der Branche spielen.","Den Einsatz von VR/AR in dem Arbeitsbereich ist ein interessanter Gedanke;Der Einsatz von VR/AR würde sich unterstützend auf die Arbeit auswirken","Schulung/Ausbildung;Konstruktion/Design;Architektur/Immobilien;Gesundheitswesen;Wartungen und Reperaturen;Logistik und Lagerhaltung;Forschung und Entwicklung","Virtual Reality","Virtual Reality","Seltener","4","4","großes FOV unterstützt ungemein, verbindung von bewegung im echten leben und bewegung des POV in der VR-Brille ","4","5","","privat für unterhaltung/bildung/kreativität und beruflich um ein besseres verständnis meiner arbeit zu bekommen und dinge mal aus einer anderen/neuen/interessanten sicht zu sehen",""
"2023/03/22 8:45:17 AM OEZ","Ausbildung","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","noch nicht","Gaming, Demos","Seltener","","","","","virtuelles Training von Arbeitsprozessen;Interaktive Präsentationen von Produkten und Dienstleistungen","","keinen EInfluss","3","","VR/AR wird in Zukunft keine Rolle im Berufsleben spielen","","Mangelnde Akzeptanz und Vertrauen der Nutzer","Es wird gar keine Rolle in der Ausbildung spielen.","Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird keine Rolle in der zukünftigen Entwicklung der Branche spielen.","Über den Einsatz von VR/AR auf der Arbeit und dessen Auswirkung wurde nachgedacht","Logistik und Lagerhaltung","Virtual Reality;Augmented Reality","keine von beiden","Seltener","","","","4","4","","",""
"2023/03/22 8:58:42 AM OEZ","Studium","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","Privat","Videospiele, visualisierung von verschiedenen Sachen","Seltener","nie","Gaming","","","virtuelles Training von Arbeitsprozessen;Interaktive Präsentationen von Produkten und Dienstleistungen;virtuelle Zusammenarbeit und Meetings","Akzeptanz und Nutzenbewertung durch die Nutzer;Datenschutz- und Sicherheitsbedenken","keinen EInfluss","4","verbesserte Bildqualität;bessere Interaktion und Haptik;größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird bestehende Arbeitsplätze ersetzen und zu einem Rückgang der Beschäftigung führen;Es wird die Kreativität und Innovationskraft der Unternehmen förder","technische Limitierung;Mangelnde Akzeptanz und Vertrauen der Nutzer;Datenschutz- und Sicherheitsbedenken;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird eine wichtige Rolle bei der Vermittlung praktischer Erfahrungen spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne;Finanzielle Anreize für die Nutzung von VR/AR;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine entscheidende Rolle bei der Weiterentwicklung und Innovation der Branche spielen.","Den Einsatz von VR/AR in dem Arbeitsbereich ist ein interessanter Gedanke;Der Einsatz von VR/AR würde sich unterstützend auf die Arbeit auswirken;Über den Einsatz von VR/AR auf der Arbeit und dessen Auswirkung wurde nachgedacht","","noch keiner von beiden","keine von beiden","","","","","2","2","","visualiserung von 3D Modellen. Visualisierung von Logistiklagern. Videospiele. Visualisierung anderer Städte/Länder zB VR bei Google Maps",""
"2023/03/22 11:09:57 AM OEZ","duales Studium","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","Privat","Studium und von Freunden","Seltener","","Gaming","Ich habe schon einmal bei einem Freund ein VR-Spiel gespielt.","","virtuelles Training von Arbeitsprozessen;Simulation von Gefahrensituationen","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen;Akzeptanz und Nutzenbewertung durch die Nutzer;Datenschutz- und Sicherheitsbedenken","häufigere Nutzung seit der Pandemie","3","verbesserte Bildqualität;bessere Interaktion und Haptik;einfachere Bedienung;größere VIelfalt an Anwendungen;Allgemein höhere Qualität, bisher ist es oft noch unauasgereift für viele Anwendungsfälle","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Kreativität und Innovationskraft der Unternehmen förder","technische Limitierung;hohe Kosten für Hardware und Software;Mangelnde Akzeptanz und Vertrauen der Nutzer;Datenschutz- und Sicherheitsbedenken;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine untergeordnete Rolle in der Branche spielen.","Der Einsatz von VR/AR würde sich unterstützend auf die Arbeit auswirken","Schulung/Ausbildung;Konstruktion/Design;Architektur/Immobilien;Gesundheitswesen;Wartungen und Reperaturen;Logistik und Lagerhaltung;Kommunikation (bspw. das Abhalten von Meetings);Forschung und Entwicklung","Virtual Reality","keine von beiden","Seltener","2","2","Hohe Zukunftsaffinität, Verringerung wiederholender Aktivitäten","2","2","","Gaming (macht Spaß), vllt Wohnungsbesichtigungen (keine Anreise notwendig)",""
"2023/03/22 11:23:39 AM OEZ","Beruf","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","Privat","Spiele Bereich und in der Industrie-Konstruktion","Seltener","","Gaming","Spiele","","virtuelles Training von Arbeitsprozessen","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen;Akzeptanz und Nutzenbewertung durch die Nutzer","keinen EInfluss","3","einfachere Bedienung;größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird die Produktivität und Effizienz der Arbeitnehmer steigern;Es wird die Kreativität und Innovationskraft der Unternehmen förder","hohe Kosten für Hardware und Software;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne;Finanzielle Anreize für die Nutzung von VR/AR","Es wird eine entscheidende Rolle bei der Weiterentwicklung und Innovation der Branche spielen.","Den Einsatz von VR/AR in dem Arbeitsbereich ist ein interessanter Gedanke;Der Einsatz von VR/AR würde sich unterstützend auf die Arbeit auswirken","Konstruktion/Design;Wartungen und Reperaturen;Logistik und Lagerhaltung","Virtual Reality;Augmented Reality;Mixed Reality","keine von beiden","Seltener","3","2","Live im Geschehen zu sein.","2","2","","Gaming ","Einfachere und billige Hardware würde mehr Akzeptanz bieten"
